pct_cheaters,steps_moy,steps_std,temps_moy,temps_std,throughput_moy,throughput_std
0,945.40,2047.63,4.4220,9.5106,208.83,7.31
10,178.80,20.72,4.7462,0.5950,37.81,2.62
20,186.00,22.73,8.7435,0.8633,21.25,0.99
30,212.30,17.36,15.2981,0.9065,13.89,0.91
40,231.20,21.80,20.2278,2.0540,11.44,0.34
50,237.40,18.90,25.8081,2.5548,9.22,0.30
60,267.40,18.30,38.8104,5.3230,6.97,0.66
70,314.40,32.56,54.9791,7.8072,5.77,0.45
80,311.80,35.89,55.6939,9.0038,5.65,0.35
90,334.90,35.21,66.6044,7.7063,5.04,0.13
100,367.70,25.41,81.1589,4.8075,4.53,0.12
